state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Mizoram,Tripura,0.046903105379263454,2490919.0,3.0405789103415805e-189,6.949894652209327e-189,True
Himachal Pradesh,Odisha,0.0464659685863875,8254419.0,0.0,0.0,True
Meghalaya,Punjab,-0.04609175478064709,1095655.5,0.0,0.0,True
Kerala,Rajasthan,-0.045855379188712415,970794.5,0.0,0.0,True
Jammu and Kashmir,Karnataka,0.04579026937141591,9481386.5,4.499098230659206e-234,1.1587921296527127e-233,True
Sikkim,Telangana,-0.045768264059112704,519996.0,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Uttarakhand,-0.045336366373089354,661095.0,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Madhya Pradesh,-0.045255619951488704,746713.0,0.0,0.0,True
Punjab,Tripura,0.04512743125419186,5983328.0,6.31671306032279e-253,1.7280955937048874e-252,True
Arunachal Pradesh,Uttar Pradesh,-0.044848875916727246,1023146.5,0.0,0.0,True
Chhattisgarh,Nagaland,-0.04456785485984034,2465470.5,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,West Bengal,-0.04449451765989944,762588.0,0.0,0.0,True
Meghalaya,Uttarakhand,-0.04442508811398038,803417.0,0.0,0.0,True
Madhya Pradesh,Meghalaya,0.04434434169237973,14397017.5,0.0,0.0,True
Andaman and Nicobar Islands,Uttar Pradesh,-0.0441612362399179,602199.0,0.0,0.0,True
Haryana,Uttar Pradesh,-0.0441612362399179,1350914.0,0.0,0.0,True
Arunachal Pradesh,Manipur,-0.043977682966852644,420855.5,1.020460969022467e-107,1.6278048085917296e-107,True
Nagaland,West Bengal,0.0439059441745341,8614699.0,0.0,0.0,True
Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,0.043832606974593194,4614224.5,1.6229400196021998e-254,4.5100648965787445e-254,True
Meghalaya,West Bengal,-0.043583239400790466,1089067.0,0.0,0.0,True
Tripura,Uttarakhand,-0.04346076458752515,1393770.5,4.605835955631755e-246,1.2471186587556751e-245,True
Arunachal Pradesh,Maharashtra,-0.04341127118548761,1406364.5,0.0,0.0,True
Madhya Pradesh,Tripura,0.0433800181659245,6387386.0,0.0,0.0,True
Andaman and Nicobar Islands,Manipur,-0.043290043290043295,527240.0,5.754199659292777e-132,1.0127391400355288e-131,True
Haryana,Manipur,-0.043290043290043295,933761.0,1.8810053915135798e-116,3.0939901766952343e-116,True
Tamil Nadu,Telangana,-0.043151507155503616,4580019.0,0.003586958171750785,0.003945653988925863,True
Madhya Pradesh,Nagaland,-0.04314484188294483,1889934.5,0.0,0.0,True
Nagaland,Uttarakhand,0.04306409546134418,7525419.0,0.0,0.0,True
Chhattisgarh,Meghalaya,0.04292132871548422,12259504.5,0.0,0.0,True
Andaman and Nicobar Islands,Maharashtra,-0.042723631508678264,949185.0,0.0,0.0,True
Haryana,Maharashtra,-0.042723631508678264,1975290.5,0.0,0.0,True
Tripura,West Bengal,-0.042618915874335236,1514154.0,1.4989116037044245e-268,4.446209700876046e-268,True
Kerala,Uttar Pradesh,-0.0423975678095827,427776.0,0.0,0.0,True
Jammu and Kashmir,Jharkhand,0.04238352633401307,4930935.5,1.8906330933377802e-124,3.220175075104348e-124,True
Ladakh,Tripura,-0.04225352112676056,134514.0,4.0644818739551345e-145,7.58320293091276e-145,True
Puducherry,Tripura,-0.04225352112676056,598283.0,9.313092453017515e-124,1.581129522570176e-123,True
Arunachal Pradesh,Mizoram,-0.04222521856378575,805891.5,1.574198597082586e-187,3.536922805360023e-187,True
Gujarat,Jammu and Kashmir,-0.04219167023487928,2212012.0,2.4451218787710826e-121,4.1115425222647505e-121,True
Chhattisgarh,Tripura,0.04195700518902899,5626679.5,4.536757830818623e-199,1.0552458743049485e-198,True
Chandigarh,Sikkim,0.04159691493890237,8330715.0,0.0,0.0,True
Andaman and Nicobar Islands,Mizoram,-0.0415375788869764,790178.0,0.0,0.0,True
Haryana,Mizoram,-0.0415375788869764,1429289.5,0.0,0.0,True
Kerala,Manipur,-0.041526374859708094,688541.0,3.0679651162278544e-127,5.328570991343115e-127,True
Nagaland,Punjab,0.04139742879467748,8424515.5,8.486620065092485e-285,2.6831948469274445e-284,True
Meghalaya,Puducherry,0.04128919760030533,3341310.0,1.3109008295171334e-131,2.2995203919768986e-131,True
Ladakh,Meghalaya,-0.04128919760030533,361185.0,7.891701333636759e-119,1.3186133873924712e-118,True
Dadra and Nagar Haveli and Daman and Diu,Himachal Pradesh,-0.04108804924519109,1513009.5,6.785655860855607e-125,1.1594907102044532e-124,True
Kerala,Maharashtra,-0.04095996307834306,783874.0,0.0,0.0,True
Bihar,Rajasthan,-0.0408647239611764,1226518.5,0.0,0.0,True
Arunachal Pradesh,Punjab,-0.04044954443871415,2058570.5,5.766764063961374e-247,1.569511044212168e-246,True
Dadra and Nagar Haveli and Daman and Diu,Puducherry,0.04037791934119636,1305273.0,4.523614677497145e-96,6.943222528251432e-96,True
Dadra and Nagar Haveli and Daman and Diu,Ladakh,0.04037791934119636,609125.0,2.215834825467206e-112,3.5888367725358433e-112,True
Himachal Pradesh,Meghalaya,0.04017677098608212,10072028.5,5.637523151015041e-270,1.7009212707062525e-269,True
Kerala,Mizoram,-0.0397739104566412,825000.5,0.0,0.0,True
Andaman and Nicobar Islands,Punjab,-0.039761904761904804,2034964.0,0.0,0.0,True
Haryana,Punjab,-0.039761904761904804,3645513.5,0.0,0.0,True
Mizoram,Nagaland,-0.03962175466960588,1030680.0,3.5997913227178815e-209,8.447510303977962e-209,True
Chandigarh,Jammu and Kashmir,-0.03946498908131116,5034627.5,6.78914065108107e-99,1.0543136069914133e-98,True
Himachal Pradesh,Tripura,0.03921244745962689,4806319.0,1.0121645555012055e-109,1.6194632888019289e-109,True
Chandigarh,Tamil Nadu,0.03898015803529328,4608049.5,0.004121965848550198,0.004524735900279635,True
Gujarat,Sikkim,0.038870233785334246,3902788.5,0.0,0.0,True
Arunachal Pradesh,Uttarakhand,-0.03878287777204745,1702819.5,1.028756233757924e-228,2.574328395375279e-228,True
Arunachal Pradesh,Madhya Pradesh,-0.0387021313504468,1923937.5,7.972446225965729e-288,2.5824856486563832e-287,True
Jharkhand,Sikkim,0.03867837768620046,4213571.0,0.0,0.0,True
Maharashtra,Nagaland,-0.038435702047904016,2764436.0,4.670285257497254e-272,1.4171900091715805e-271,True
Andaman and Nicobar Islands,Uttarakhand,-0.0380952380952381,1514812.0,0.0,0.0,True
Haryana,Uttarakhand,-0.0380952380952381,2847245.0,0.0,0.0,True
Haryana,Madhya Pradesh,-0.03801449167363745,3175041.0,0.0,0.0,True
Andaman and Nicobar Islands,Madhya Pradesh,-0.03801449167363745,1585540.5,0.0,0.0,True
Kerala,Punjab,-0.0379982363315696,2683570.5,0.0,0.0,True
Arunachal Pradesh,West Bengal,-0.03794102905885753,1846399.0,2.6115291727479775e-253,7.219305775973466e-253,True
Manipur,Nagaland,-0.037869290266538985,842838.0,2.8267229152853572e-27,3.67613226421347e-27,True
Andhra Pradesh,Rajasthan,-0.03754578754578754,2683748.0,0.0,0.0,True
Bihar,Uttar Pradesh,-0.03740691258204668,715268.0,0.0,0.0,True
Arunachal Pradesh,Chhattisgarh,-0.03727911837355129,2137836.0,3.198014732023737e-219,7.853729202365269e-219,True
Andaman and Nicobar Islands,West Bengal,-0.03725338938204818,1560636.0,0.0,0.0,True
Haryana,West Bengal,-0.03725338938204818,3037222.5,0.0,0.0,True
Nagaland,Uttar Pradesh,0.03699809731666438,6066758.5,7.914481807212945e-96,1.211259824408242e-95,True
Odisha,Telangana,-0.03665823169665323,801866.0,0.0,0.0,True
Andaman and Nicobar Islands,Chhattisgarh,-0.03659147869674194,2438210.0,0.0,0.0,True
Chhattisgarh,Haryana,0.03659147869674194,13533391.0,0.0,0.0,True
